TUCASEID,TULINENO,EEINCOME1,ERBMI,ERHHCH,ERINCOME,ERSPEMCH,ERTPREAT,ERTSEAT,ETHGT,ETWGT,EUDIETSODA,EUDRINK,EUEAT,EUEXERCISE,EUEXFREQ,EUFASTFD,EUFASTFDFRQ,EUFFYDAY,EUFDSIT,EUFINLWGT,EUSNAP,EUGENHTH,EUGROSHP,EUHGT,EUINCLVL,EUINCOME2,EUMEAT,EUMILK,EUPRPMEL,EUSODA,EUSTORES,EUSTREASON,EUTHERM,EUWGT,EUWIC,EXINCOME1
20151110151752,1,-2,17.2,3,-1,-1,90,5,0,0,-1,2,1,1,7,2,-1,-1,1, 14055461.023670,2,1,2,70,7,-2,-1,-1,2,-1,-1,-1,-1,120,1,2
20151110151755,1,1,22.0,3,1,5,30,2,0,0,-1,2,1,2,-1,1,1,2,1,  8530593.112147,2,5,1,65,7,-3,2,2,1,-1,1,2,-1,132,-1,82
20151110151756,1,1,25.8,3,1,-1,60,10,0,0,-1,2,1,2,-1,1,3,1,1,  4994946.748444,2,2,1,72,7,-1,1,2,1,-1,2,2,2,190,-1,0
20151110151759,1,2,19.5,3,5,-1,104,1,0,0,-1,1,1,1,7,2,-1,-1,1,  5833353.864161,2,2,2,69,7,2,1,2,1,2,-1,-1,1,132,2,0
20151110151760,1,2,23.7,3,5,-1,45,35,0,0,-1,2,1,1,5,2,-1,-1,1, 15686523.824733,2,1,2,71,7,2,-1,-1,2,-1,-1,-1,-1,170,2,0
20151110151768,1,2,26.6,3,5,-1,75,0,0,0,-1,2,2,2,-1,2,-1,-1,1,  6112286.660251,2,-2,1,63,7,2,1,2,1,-1,1,4,2,150,2,0
20151110151770,1,2,60.1,3,5,5,41,0,0,0,-1,2,2,1,3,1,2,1,1, 15310978.455138,2,4,1,61,7,2,1,2,1,-1,1,2,2,318,1,0
20151110151772,1,1,20.4,3,1,-1,50,15,0,0,-1,1,1,1,5,2,-1,-1,1,  8040789.351610,2,1,2,67,7,-2,-1,-1,2,2,-1,-1,-1,130,2,73
20151110151775,1,3,26.5,3,2,-1,40,180,0,0,-1,1,1,1,5,2,-1,-1,1,  3217627.699356,2,3,1,62,7,-1,1,2,1,2,1,1,2,145,-1,0
20151110151784,1,1,25.5,3,1,5,65,0,0,0,-1,2,2,1,2,2,-1,-1,1, 11236761.184943,2,2,1,67,7,-1,1,2,1,-1,1,2,2,163,2,0
